Time,Value
0.0137416,-0.273569
0.0137642,-0.290622
0.0137869,-0.307588
0.0138096,-0.324463
0.0138323,-0.34124
0.0138549,-0.357915
0.0138776,-0.374482
0.0139003,-0.390935
0.013923,-0.40727
0.0139456,-0.42348
0.0139683,-0.439562
0.013991,-0.455509
0.0140137,-0.471316
0.0140363,-0.486979
0.014059,-0.50249
0.0140817,-0.517848
0.0141044,-0.533044
0.014127,-0.548076
0.0141497,-0.562938
0.0141724,-0.577624
0.0141951,-0.592131
0.0142177,-0.606453
0.0142404,-0.620585
0.0142631,-0.634523
0.0142858,-0.648262
0.0143084,-0.661798
0.0143311,-0.675125
0.0143538,-0.68824
0.0143765,-0.701138
0.0143991,-0.713814
0.0144218,-0.726265
0.0144445,-0.738486
0.0144672,-0.750473
0.0144899,-0.762221
0.0145125,-0.773728
0.0145352,-0.784988
0.0145579,-0.795998
0.0145806,-0.806754
0.0146032,-0.817253
0.0146259,-0.827491
0.0146486,-0.837464
0.0146713,-0.847168
0.0146939,-0.856601
0.0147166,-0.865759
0.0147393,-0.874639
0.014762,-0.883237
0.0147846,-0.89155
0.0148073,-0.899576
0.01483,-0.907312
0.0148527,-0.914755
0.0148753,-0.921902
0.014898,-0.92875
0.0149207,-0.935297
0.0149434,-0.941541
0.014966,-0.947478
0.0149887,-0.953108
0.0150114,-0.958428
0.0150341,-0.963435
0.0150567,-0.968128
0.0150794,-0.972506
0.0151021,-0.976565
0.0151248,-0.980305
0.0151475,-0.983724
0.0151701,-0.986821
0.0151928,-0.989594
0.0152155,-0.992042
0.0152382,-0.994164
0.0152608,-0.995959
0.0152835,-0.997426
0.0153062,-0.998564
0.0153289,-0.999373
0.0153515,-0.999851
0.0153742,-1
0.0153969,-0.999817
0.0154196,-0.999303
0.0154422,-0.998458
0.0154649,-0.997281
0.0154876,-0.995774
0.0155103,-0.993935
0.0155329,-0.991765
0.0155556,-0.989265
0.0155783,-0.986435
0.015601,-0.983276
0.0156236,-0.979789
0.0156463,-0.975973
0.015669,-0.971832
0.0156917,-0.967364
0.0157143,-0.962572
0.015737,-0.957457
0.0157597,-0.95202
0.0157824,-0.946263
0.0158051,-0.940188
0.0158277,-0.933795
0.0158504,-0.927088
0.0158731,-0.920067
0.0158958,-0.912735
0.0159184,-0.905095
0.0159411,-0.897148
0.0159638,-0.888897
0.0159865,-0.880344
0.0160091,-0.871492
0.0160318,-0.862344
0.0160545,-0.852902
0.0160772,-0.843169
0.0160998,-0.833149
0.0161225,-0.822844
0.0161452,-0.812257
0.0161679,-0.801393
0.0161905,-0.790254
0.0162132,-0.778844
0.0162359,-0.767167
0.0162586,-0.755225
0.0162812,-0.743024
0.0163039,-0.730567
0.0163266,-0.717857
0.0163493,-0.7049
0.0163719,-0.691699
0.0163946,-0.678258
0.0164173,-0.664582
0.01644,-0.650676
0.0164627,-0.636543
0.0164853,-0.622188
0.016508,-0.607617
0.0165307,-0.592833
0.0165534,-0.577842
0.016576,-0.562649
0.0165987,-0.547258
0.0166214,-0.531675
0.0166441,-0.515905
0.0166667,-0.499953
0.0166894,-0.483825
0.0167121,-0.467525
0.0167348,-0.45106
0.0167574,-0.434434
0.0167801,-0.417655
0.0168028,-0.400725
0.0168255,-0.383653
0.0168481,-0.366443
0.0168708,-0.349101
0.0168935,-0.331634
0.0169162,-0.314046
0.0169388,-0.296344
0.0169615,-0.278535
0.0169842,-0.260623
0.0170069,-0.242616
0.0170295,-0.224519
0.0170522,-0.206338
0.0170749,-0.18808
0.0170976,-0.169752
0.0171202,-0.151358
0.0171429,-0.132907
